chr	start	end	strand	gene_id	gene_name
chr11	34335118	34336003	-	ENSG00000254708.1	MMADHCP2
chr11	34404663	34404949	-	ENSG00000220204.1	ENSG00000220204
chr11	34430880	34431649	+	ENSG00000216708.1	CIR1P3
chr11	34438934	34472060	+	ENSG00000121691.7	CAT
chr11	34478791	34525193	-	ENSG00000135374.11	ELF5
chr11	34533014	34557924	-	ENSG00000255271.1	ENSG00000255271
chr11	34570876	34573982	+	ENSG00000255427.1	LINC02707
chr11	34621093	34663288	+	ENSG00000135373.13	EHF
chr11	34709600	34710161	+	ENSG00000271369.1	ENSG00000271369
chr11	34742906	34743199	+	ENSG00000270491.1	ENSG00000270491
chr11	34853094	34916379	-	ENSG00000149089.13	APIP
chr11	34915829	35020591	+	ENSG00000110435.13	PDHX
chr11	34941837	34941920	+	ENSG00000251862.2	MIR1343
chr11	35051275	35067192	-	ENSG00000289526.1	ENSG00000289526
chr11	35132655	35138951	-	ENSG00000255521.3	ENSG00000255521
chr11	35138882	35232402	+	ENSG00000026508.21	CD44
chr11	35210343	35214985	-	ENSG00000255443.1	CD44-AS1
chr11	35212550	35214007	+	ENSG00000251194.2	ENSG00000251194
chr11	35251205	35420063	-	ENSG00000110436.13	SLC1A2
chr11	35281813	35286009	+	ENSG00000255004.1	SLC1A2-AS1
chr11	35374265	35374474	+	ENSG00000215380.2	ENSG00000215380
chr11	35419057	35421002	+	ENSG00000255542.1	ENSG00000255542
chr11	35431823	35530300	-	ENSG00000149090.13	PAMR1
chr11	35579430	35585310	-	ENSG00000254669.1	ENSG00000254669
chr11	35618460	35620865	+	ENSG00000179431.7	FJX1
chr11	35656694	35661339	+	ENSG00000254686.2	ENSG00000254686
chr11	35662775	35818007	+	ENSG00000166326.7	TRIM44
chr11	35824192	35838523	+	ENSG00000285705.1	ENSG00000285705
chr11	35860249	35861498	-	ENSG00000186082.9	KRT18P14
chr11	35894987	35897735	+	ENSG00000285740.1	ENSG00000285740
chr11	35915051	35918739	-	ENSG00000254919.1	ENSG00000254919
chr11	35943981	36232136	+	ENSG00000179241.13	LDLRAD3
chr11	35967010	35968676	-	ENSG00000254672.1	ENSG00000254672
chr11	35972428	35989007	+	ENSG00000255256.1	ENSG00000255256
chr11	35997226	35997675	-	ENSG00000241228.1	RPL12P31
chr11	36010098	36010204	+	ENSG00000263389.1	MIR3973
chr11	36196248	36197901	+	ENSG00000280321.1	ENSG00000280321
chr11	36269284	36289449	-	ENSG00000110442.12	COMMD9
chr11	36296288	36465204	+	ENSG00000135362.14	PRR5L
chr11	36321158	36323440	-	ENSG00000254566.1	ENSG00000254566
chr11	36386521	36388250	+	ENSG00000255186.1	ENSG00000255186
chr11	36425447	36426122	-	ENSG00000255060.1	ENSG00000255060
chr11	36483769	36510272	-	ENSG00000175104.15	TRAF6
chr11	36510361	36510537	+	ENSG00000280331.1	ENSG00000280331
chr11	36510709	36593156	+	ENSG00000166349.10	RAG1
chr11	36575574	36598279	-	ENSG00000175097.8	RAG2
chr11	36594369	36675695	+	ENSG00000166352.18	IFTAP
chr11	36696317	36697867	+	ENSG00000254498.1	ENSG00000254498
chr11	37702125	37702220	-	ENSG00000251838.1	ENSG00000251838
chr11	37725666	37726456	+	ENSG00000242834.1	RPL7AP56
chr11	37938601	37954663	+	ENSG00000254516.1	LINC02760
chr11	38013510	38014141	-	ENSG00000279004.1	ENSG00000279004
chr11	38211389	38212799	+	ENSG00000254784.1	DNAAF11P1
chr11	38498995	38500186	+	ENSG00000255477.1	ENSG00000255477
chr11	38618264	38646384	-	ENSG00000255175.6	LINC02759
chr11	38646451	38686323	+	ENSG00000254562.7	LINC01493
chr11	39024631	39161638	-	ENSG00000285751.1	ENSG00000285751
chr11	39161453	39161967	+	ENSG00000240975.1	ENSG00000240975
chr11	39261107	39261213	+	ENSG00000201591.1	RNU6-99P
chr11	39873782	39874388	+	ENSG00000270588.1	ENSG00000270588
chr11	40083710	40084517	-	ENSG00000255347.1	ENSG00000255347
chr11	40107244	40112599	-	ENSG00000279675.1	ENSG00000279675
chr11	40114203	41459773	-	ENSG00000148948.8	LRRC4C
chr11	40351564	40351672	+	ENSG00000206806.1	Y_RNA
chr11	40444371	40513269	-	ENSG00000254579.2	ENSG00000254579
chr11	41122907	41123012	-	ENSG00000252922.1	RNU6-365P
chr11	41394595	41426504	+	ENSG00000255132.1	ENSG00000255132
chr11	41518895	41714492	-	ENSG00000255388.6	LINC02741
chr11	41538434	41538986	+	ENSG00000242729.1	ENSG00000242729
chr11	41660030	41660221	+	ENSG00000255563.1	ENSG00000255563
chr11	41714534	41857733	+	ENSG00000255171.7	LINC01499
chr11	41797543	41797964	+	ENSG00000254668.1	ENSG00000254668
chr11	41855920	41875997	+	ENSG00000255279.1	ENSG00000255279
chr11	41876634	41877078	+	ENSG00000254822.1	ENSG00000254822
chr11	41993381	42163851	-	ENSG00000255300.6	LINC02745
chr11	42183292	42253721	-	ENSG00000255109.6	LINC02740
chr11	42939775	42939998	+	ENSG00000254914.1	ENSG00000254914
chr11	43063637	43065932	-	ENSG00000271028.1	ENSG00000271028
chr11	43065686	43066076	-	ENSG00000254725.1	ENSG00000254725
chr11	43120762	43269396	-	ENSG00000251557.3	HNRNPKP3
chr11	43311963	43344529	+	ENSG00000166181.13	API5
chr11	43328748	43359296	-	ENSG00000254907.1	ENSG00000254907
chr11	43331261	43331356	+	ENSG00000252652.1	Y_RNA
chr11	43358920	43494933	+	ENSG00000052841.15	TTC17
chr11	43378882	43385671	-	ENSG00000255340.1	ENSG00000255340
chr11	43390283	43395495	+	ENSG00000254577.1	ENSG00000254577
chr11	43435132	43435397	-	ENSG00000252355.1	RN7SKP287
chr11	43466392	43466871	+	ENSG00000254463.1	PPIAP41
chr11	43522036	43523264	+	ENSG00000213697.3	CTBP2P6
chr11	43556436	43673393	+	ENSG00000283217.1	ENSG00000283217
chr11	43559656	43559753	+	ENSG00000211568.1	MIR670
chr11	43569306	43570395	+	ENSG00000235661.3	MIR670HG
chr11	43578889	43840030	+	ENSG00000283341.3	ENSG00000283341
chr11	43581394	43581483	+	ENSG00000199077.3	MIR129-2
chr11	43680680	43856617	+	ENSG00000149084.13	HSD17B12
chr11	43718676	43719143	+	ENSG00000283393.1	ENSG00000283393
chr11	43718676	43719146	+	ENSG00000243721.1	RPL23AP63
chr11	43733759	43734564	+	ENSG00000254512.1	PHBP2
chr11	43733761	43734564	+	ENSG00000283483.1	ENSG00000283483
chr11	43827517	43880726	-	ENSG00000246250.3	ENSG00000246250
chr11	43855913	43856404	-	ENSG00000283375.1	ENSG00000283375
chr11	43880811	43920274	+	ENSG00000166199.13	ALKBH3
chr11	43897456	43899636	+	ENSG00000213693.4	SEC14L1P1
chr11	43909289	43920944	-	ENSG00000244926.7	ALKBH3-AS1
chr11	43921059	44001157	+	ENSG00000254409.3	ENSG00000254409
chr11	43925342	43943878	+	ENSG00000187479.8	C11orf96
chr11	43943787	43947206	-	ENSG00000244953.1	ENSG00000244953
chr11	44047981	44059977	+	ENSG00000205126.2	ACCSL
chr11	44065925	44084237	+	ENSG00000110455.14	ACCS
chr11	44071462	44072403	+	ENSG00000255165.1	ENSG00000255165
chr11	44095648	44251962	+	ENSG00000151348.16	EXT2
chr11	44260440	44310139	-	ENSG00000052850.8	ALX4
chr11	44468464	44470429	+	ENSG00000255451.1	ENSG00000255451
chr11	44539778	44540693	-	ENSG00000255106.1	ENSG00000255106
chr11	44564427	44620358	+	ENSG00000085117.12	CD82
chr11	44604508	44605337	-	ENSG00000254693.1	ENSG00000254693
chr11	44606170	44608101	-	ENSG00000255092.1	ENSG00000255092
chr11	44629357	44629674	+	ENSG00000244267.1	RPL34P22
chr11	44656771	44656920	+	ENSG00000275725.1	ENSG00000275725
chr11	44694863	44696301	-	ENSG00000255079.1	LINC02704
chr11	44719392	44736692	-	ENSG00000255032.1	TSPAN18-AS1
chr11	44726465	44932423	+	ENSG00000157570.12	TSPAN18
chr11	44885903	44951306	-	ENSG00000175274.19	TP53I11
chr11	44973770	44978028	+	ENSG00000254654.2	LINC02685
chr11	45008266	45044053	+	ENSG00000287984.1	ENSG00000287984
chr11	45095806	45235110	+	ENSG00000019485.14	PRDM11
chr11	45215815	45235292	-	ENSG00000254664.1	ENSG00000254664
chr11	45240302	45286341	-	ENSG00000019505.8	SYT13
chr11	45253884	45254649	+	ENSG00000254497.1	ENSG00000254497
chr11	45355371	45367577	+	ENSG00000254427.3	LINC02696
chr11	45371397	45388511	+	ENSG00000255267.4	LINC02687
chr11	45387215	45513802	-	ENSG00000255041.1	ENSG00000255041
chr11	45397590	45412745	-	ENSG00000286418.1	ENSG00000286418
chr11	45399448	45400528	+	ENSG00000254651.1	ENSG00000254651
chr11	45486867	45542487	-	ENSG00000254746.6	ENSG00000254746
chr11	45514187	45514451	+	ENSG00000255519.1	ENSG00000255519
chr11	45582525	45583474	+	ENSG00000254514.1	ENSG00000254514
chr11	45647689	45665622	-	ENSG00000175264.8	CHST1
chr11	45651529	45652691	+	ENSG00000255091.1	ENSG00000255091
chr11	45691704	45691776	-	ENSG00000276639.1	MIR7154
chr11	45722279	45748029	+	ENSG00000254519.5	ENSG00000254519
chr11	45733994	45735766	-	ENSG00000255426.1	ENSG00000255426
chr11	45749454	45752279	-	ENSG00000255226.2	LINC02690
chr11	45771416	45773295	+	ENSG00000205106.5	LINC02716
chr11	45804072	45813016	+	ENSG00000181830.9	SLC35C1
chr11	45813219	45825258	+	ENSG00000255447.1	ENSG00000255447
chr11	45847118	45883248	+	ENSG00000121671.12	CRY2
chr11	45885651	45906465	+	ENSG00000121653.11	MAPK8IP1
chr11	45905941	45906461	-	ENSG00000255498.1	ENSG00000255498
chr11	45906513	45907272	-	ENSG00000234776.5	C11orf94
chr11	45909663	45918812	-	ENSG00000121680.16	PEX16
chr11	45921621	45929096	+	ENSG00000165905.18	LARGE2
chr11	45929319	46121454	-	ENSG00000135365.17	PHF21A
chr11	46116578	46117318	+	ENSG00000254653.1	ENSG00000254653
chr11	46123031	46177106	+	ENSG00000255314.4	ENSG00000255314
chr11	46142716	46143594	+	ENSG00000254871.1	FBLIM1P2
chr11	46213150	46220438	-	ENSG00000255269.3	LINC02710
chr11	46238382	46239267	+	ENSG00000254639.1	ENSG00000254639
chr11	46256270	46274547	-	ENSG00000255007.2	LINC02489
chr11	46277662	46321409	+	ENSG00000157613.11	CREB3L1
chr11	46332905	46380554	+	ENSG00000149091.15	DGKZ
chr11	46376402	46376484	+	ENSG00000264102.1	MIR4688
chr11	46380756	46383837	+	ENSG00000110492.17	MDK
chr11	46383789	46391776	-	ENSG00000180720.8	CHRM4
chr11	46396414	46594125	-	ENSG00000110497.15	AMBRA1
chr11	46428653	46429150	-	ENSG00000244313.3	ENSG00000244313
chr11	46451805	46451889	-	ENSG00000265014.1	MIR3160-1
chr11	46451807	46451887	+	ENSG00000283497.1	MIR3160-2
chr11	46572948	46587808	+	ENSG00000285658.1	ENSG00000285658
chr11	46602861	46617909	-	ENSG00000180423.4	HARBI1
chr11	46617527	46674818	+	ENSG00000175224.17	ATG13
chr11	46677080	46700619	-	ENSG00000175220.12	ARHGAP1
chr11	46701030	46705912	+	ENSG00000175213.3	ZNF408
chr11	46719196	46739506	+	ENSG00000180210.15	F2
chr11	46743048	46846308	-	ENSG00000175216.15	CKAP5
chr11	46753125	46753192	-	ENSG00000263540.1	MIR5582
chr11	46758766	46758873	-	ENSG00000252427.1	ENSG00000252427
chr11	46762389	46762499	-	ENSG00000212135.1	SNORD67
chr11	46846410	46874421	+	ENSG00000247675.8	LRP4-AS1
chr11	46856717	46918642	-	ENSG00000134569.10	LRP4
chr11	46920880	46929320	+	ENSG00000286450.1	ENSG00000286450
chr11	46936689	47164385	+	ENSG00000149179.14	C11orf49
chr11	47041027	47041945	-	ENSG00000271350.1	ENSG00000271350
chr11	47123104	47130801	-	ENSG00000255520.1	ENSG00000255520
chr11	47164299	47177125	-	ENSG00000149182.15	ARFGAP2
chr11	47168281	47169563	-	ENSG00000270060.1	ENSG00000270060
chr11	47177522	47186443	-	ENSG00000165912.16	PACSIN3
chr11	47179611	47179737	-	ENSG00000275208.1	MIR6745
chr11	47191181	47191542	-	ENSG00000243802.2	ENSG00000243802
chr11	47214465	47239217	+	ENSG00000134574.12	DDB2
chr11	47220218	47221751	-	ENSG00000256897.1	ENSG00000256897
chr11	47239302	47248906	-	ENSG00000134575.13	ACP2
chr11	47248300	47269033	+	ENSG00000025434.19	NR1H3
chr11	47269161	47330031	+	ENSG00000110514.19	MADD
chr11	47270657	47272110	-	ENSG00000256746.5	MADD-AS1
chr11	47323983	47324181	+	ENSG00000283338.1	ENSG00000283338
chr11	47331406	47352702	-	ENSG00000134571.12	MYBPC3
chr11	47354860	47378547	-	ENSG00000066336.12	SPI1
chr11	47381509	47409369	-	ENSG00000255197.7	ENSG00000255197
chr11	47400970	47401042	+	ENSG00000264583.1	MIR4487
chr11	47407132	47416496	+	ENSG00000165915.14	SLC39A13
chr11	47418769	47426473	-	ENSG00000165916.9	PSMC3
chr11	47437764	47449143	-	ENSG00000165917.10	RAPSN
chr11	47465933	47565569	-	ENSG00000149187.19	CELF1
chr11	47513605	47514889	-	ENSG00000270072.1	ENSG00000270072
chr11	47557534	47557833	-	ENSG00000265559.2	RN7SL652P
chr11	47565336	47584562	+	ENSG00000213619.11	NDUFS3
chr11	47565430	47573461	+	ENSG00000110536.14	PTPMT1
chr11	47572197	47578976	-	ENSG00000123444.14	KBTBD4
chr11	47576471	47576588	-	ENSG00000200376.1	RNU5E-10P
chr11	47577725	47578277	+	ENSG00000231880.2	ENSG00000231880
chr11	47586678	47589194	+	ENSG00000196666.6	FAM180B
chr11	47589667	47594411	-	ENSG00000172247.4	C1QTNF4
chr11	47617315	47642607	-	ENSG00000109919.10	MTCH2
chr11	47659591	47715389	-	ENSG00000165923.17	AGBL2
chr11	47716494	47767443	-	ENSG00000109920.13	FNBP4
chr11	47726894	47726992	-	ENSG00000200090.1	Y_RNA
chr11	47778087	47848555	-	ENSG00000030066.14	NUP160
chr11	47796169	47796379	+	ENSG00000271543.1	ENSG00000271543
chr11	47804296	47804402	-	ENSG00000252941.1	RNA5SP340
chr11	47820200	47820289	-	ENSG00000252874.2	Y_RNA
chr11	47841324	47841682	+	ENSG00000271557.1	YPEL5P2
chr11	47905323	47905607	-	ENSG00000254780.1	ENSG00000254780
chr11	47980559	48170839	+	ENSG00000149177.14	PTPRJ
chr11	48014406	48015855	-	ENSG00000254879.1	PTPRJ-AS1
chr11	48096782	48096858	+	ENSG00000263693.1	MIR3161
chr11	48216810	48217739	+	ENSG00000175619.3	OR4B1
chr11	48227429	48228310	+	ENSG00000255514.1	OR4B2P
chr11	48245104	48246015	+	ENSG00000172208.7	OR4X2
chr11	48263861	48264778	+	ENSG00000176567.1	OR4X1
chr11	48306223	48307152	+	ENSG00000176555.1	OR4S1
chr11	48324920	48325955	+	ENSG00000176547.11	OR4C3
chr11	48345351	48352447	-	ENSG00000197161.7	OR4C4P
chr11	48365485	48366465	-	ENSG00000176540.3	OR4C5
chr11	48420210	48421273	+	ENSG00000182565.8	OR4C2P
chr11	48432217	48433147	-	ENSG00000184789.6	OR4C10P
chr11	48464053	48464977	-	ENSG00000254925.1	OR4C9P
chr11	48486363	48486825	-	ENSG00000255215.1	OR4R1P
chr11	48488793	48489722	+	ENSG00000237388.3	OR4A47
chr11	48492026	48492416	+	ENSG00000255113.1	OR4A48P
chr11	48496348	48497280	+	ENSG00000255304.1	OR4A46P
chr11	48512273	48513220	+	ENSG00000254832.1	OR4A40P
chr11	48526064	48526971	+	ENSG00000255534.1	OR4A43P
chr11	48579436	48580336	+	ENSG00000213607.4	OR4A45P
chr11	48589760	48590687	+	ENSG00000255297.1	OR4A41P
chr11	48610063	48611000	+	ENSG00000254674.1	OR4A42P
chr11	48627546	48628493	+	ENSG00000255053.1	OR4A44P
chr11	48880111	48885237	+	ENSG00000255551.1	ENSG00000255551
chr11	48881723	48902181	-	ENSG00000254728.1	ENSG00000254728
chr11	48893256	48898703	+	ENSG00000254920.1	ENSG00000254920
chr11	48907103	48908946	+	ENSG00000255527.1	ENSG00000255527
chr11	48945694	48951895	+	ENSG00000249910.3	TRIM51CP
chr11	48959928	48961810	+	ENSG00000254517.1	ENSG00000254517
chr11	48975324	48983826	-	ENSG00000220948.5	TRIM51GP
chr11	48985868	48991881	-	ENSG00000254764.2	TRIM53CP
chr11	49009959	49018589	-	ENSG00000205044.5	ENSG00000205044
chr11	49027501	49038451	+	ENSG00000182053.13	TRIM49B
chr11	49048271	49050159	-	ENSG00000288434.1	ENSG00000288434
chr11	49053714	49059112	-	ENSG00000214891.9	TRIM64C
chr11	49067610	49069301	+	ENSG00000276637.1	ENSG00000276637
chr11	49070752	49071000	-	ENSG00000254801.1	ENSG00000254801
chr11	49081907	49083097	+	ENSG00000229361.5	UBTFL7
chr11	49092404	49092767	+	ENSG00000255452.1	ENSG00000255452
chr11	49098163	49101168	-	ENSG00000254412.1	ENSG00000254412
chr11	49110756	49111220	+	ENSG00000255338.1	ENSG00000255338
chr11	49117010	49124570	-	ENSG00000254993.2	TRIM77BP
chr11	49133653	49134800	-	ENSG00000254567.2	UBTFL9
chr11	49145092	49208638	-	ENSG00000086205.18	FOLH1
chr11	49305714	49379669	+	ENSG00000255532.1	ENSG00000255532
chr11	49405091	49415789	-	ENSG00000123447.6	TYRL
chr11	49406190	49406714	+	ENSG00000254496.1	CBX3P8
chr11	49433480	49434438	-	ENSG00000226268.3	ENSG00000226268
chr11	49558546	49810419	+	ENSG00000205035.8	GRM5P1
chr11	49817778	49825553	+	ENSG00000254487.2	ENSG00000254487
chr11	49824839	49826724	-	ENSG00000255268.2	ENSG00000255268
chr11	49833140	49839320	-	ENSG00000219061.4	TRIM51FP
chr11	49843488	49846533	-	ENSG00000265973.1	ENSG00000265973
chr11	49852096	49884421	+	ENSG00000288177.1	ENSG00000288177
chr11	49854080	49859402	-	ENSG00000255550.1	ENSG00000255550
chr11	49871826	49874067	-	ENSG00000255214.1	ENSG00000255214
chr11	49874945	49876638	+	ENSG00000255190.2	TRIM51DP
chr11	49882999	49884093	+	ENSG00000254800.2	ENSG00000254800
chr11	49892262	49893777	-	ENSG00000255111.1	ENSG00000255111
chr11	49898267	49899186	-	ENSG00000254408.1	OR4A1P
chr11	49915013	49915644	-	ENSG00000254472.1	OR4A49P
chr11	49917391	49918478	-	ENSG00000254637.1	OR4A18P
chr11	49920312	49921414	-	ENSG00000254940.1	OR4A19P
chr11	49923049	49923886	+	ENSG00000254624.1	OR4R3P
chr11	49952391	49953419	+	ENSG00000258817.1	OR4C13
chr11	49981473	49982535	-	ENSG00000221954.2	OR4C12
chr11	50018798	50019695	+	ENSG00000283605.1	OR4C48P
chr11	50032874	50033794	+	ENSG00000260811.3	OR4C45
chr11	50053410	50054309	-	ENSG00000260595.1	OR4C49P
chr11	50100892	50102898	-	ENSG00000255199.2	GTF2IP11
chr11	50170156	50190441	+	ENSG00000255442.1	ENSG00000255442
chr11	50184250	50208794	+	ENSG00000287538.1	ENSG00000287538
chr11	50213420	50223969	+	ENSG00000286983.1	ENSG00000286983
chr11	50246554	50247761	-	ENSG00000236919.3	PHKG1P3
chr11	50258255	50298499	-	ENSG00000255042.4	SEPTIN7P11
chr11	50268161	50269273	+	ENSG00000255500.2	ENSG00000255500
chr11	50290749	50290933	+	ENSG00000255001.1	ENSG00000255001
chr11	50298579	50304656	+	ENSG00000254518.1	LINC02750
chr11	50307681	50361706	+	ENSG00000254840.1	ENSG00000254840
chr11	50409042	50422316	+	ENSG00000214883.4	ENSG00000214883
chr11	54591480	54592409	+	ENSG00000237610.1	OR4C50P
chr11	54603069	54603998	-	ENSG00000185926.1	OR4C46
chr11	54635037	54635955	-	ENSG00000255312.1	OR4C7P
chr11	54657120	54657716	-	ENSG00000255560.1	OR4R2P
chr11	54659667	54660596	+	ENSG00000254769.4	OR4A4P
chr11	54662580	54663450	+	ENSG00000254464.1	OR4A3P
chr11	54667298	54668210	+	ENSG00000227547.3	OR4A2P
chr11	54682877	54683821	+	ENSG00000225997.1	OR4A8
chr11	54692450	54693359	+	ENSG00000255349.1	OR4A7P
chr11	54706832	54707902	+	ENSG00000221840.4	OR4A5
chr11	54724847	54725816	+	ENSG00000255078.1	OR4A6P
chr11	55262155	55271114	+	ENSG00000150244.12	TRIM48
chr11	55267408	55267636	+	ENSG00000255543.1	ENSG00000255543
chr11	55279447	55284749	-	ENSG00000255283.3	ENSG00000255283
chr11	55279949	55280289	+	ENSG00000255110.1	ENSG00000255110
chr11	55291883	55298270	-	ENSG00000166007.11	TRIM51HP
chr11	55302290	55305060	-	ENSG00000254828.1	ENSG00000254828
chr11	55318560	55319465	+	ENSG00000254663.1	OR4A11P
chr11	55325756	55326673	+	ENSG00000254723.1	OR4A12P
chr11	55343201	55344187	+	ENSG00000181961.5	OR4A16
chr11	55367974	55368918	+	ENSG00000181958.5	OR4A15
chr11	55388529	55389472	+	ENSG00000254891.1	OR4A9P
chr11	55411526	55411717	+	ENSG00000255077.1	OR4X7P
chr11	55430478	55432370	+	ENSG00000255493.2	OR4A10P
chr11	55444435	55445338	+	ENSG00000255196.1	OR4A17P
chr11	55466771	55467712	+	ENSG00000181950.3	OR4A13P
chr11	55475943	55478512	+	ENSG00000255294.2	OR4A50P
chr11	55491205	55492148	+	ENSG00000181943.5	OR4A21P
chr11	55506635	55511169	+	ENSG00000254576.2	OR4C1P
chr11	55537002	55537924	+	ENSG00000233301.1	OR4C14P
chr11	55554307	55555419	+	ENSG00000181939.3	OR4C15
chr11	55572128	55573060	+	ENSG00000279514.2	OR4C16
chr11	55602360	55607645	-	ENSG00000172188.6	OR4C11
chr11	55635113	55640309	+	ENSG00000181927.4	OR4P4
chr11	55648327	55652854	+	ENSG00000174982.4	OR4S2
chr11	55662201	55666195	+	ENSG00000181903.7	OR4C6
chr11	55673536	55674675	+	ENSG00000254841.1	OR4V1P
chr11	55683239	55684374	+	ENSG00000188439.3	OR4P1P
chr11	55684141	55686160	-	ENSG00000254804.1	ENSG00000254804
chr11	55714799	55715727	+	ENSG00000254457.3	OR5D2P
chr11	55723776	55729621	+	ENSG00000186886.8	OR5D3P
chr11	55754977	55755957	+	ENSG00000181837.7	OR5D17P
chr11	55773438	55774382	+	ENSG00000279761.2	OR5D13
chr11	55786964	55787905	+	ENSG00000255019.1	OR5D15P
chr11	55795556	55796500	+	ENSG00000186113.1	OR5D14
chr11	55811367	55812476	+	ENSG00000279395.3	OR5L1
chr11	55819630	55820571	+	ENSG00000186119.9	OR5D18
chr11	55827219	55828154	+	ENSG00000205030.1	OR5L2
chr11	55838752	55839738	+	ENSG00000205029.1	OR5D16
chr11	55850347	55858547	+	ENSG00000186124.4	OR9M1P
chr11	55863932	55881243	+	ENSG00000255204.1	ENSG00000255204
chr11	55865709	55865820	+	ENSG00000255499.1	ENSG00000255499
chr11	55867569	55874537	-	ENSG00000254547.1	ENSG00000254547
chr11	55883297	55891810	+	ENSG00000124900.12	TRIM51
chr11	55903341	55904278	-	ENSG00000227806.1	OR5W1P
chr11	55913650	55914582	-	ENSG00000187612.1	OR5W2
chr11	55935456	55936400	-	ENSG00000167825.3	OR5I1
chr11	55948120	55948924	-	ENSG00000255416.1	OR10AF1P
chr11	55957216	55957630	-	ENSG00000254807.1	OR10AK1P
chr11	55965755	55969945	-	ENSG00000174970.5	OR10AG1
chr11	55979398	55980103	-	ENSG00000214880.3	OR7E5P
chr11	55993681	55994625	-	ENSG00000149133.1	OR5F1
chr11	56015017	56015957	-	ENSG00000182365.4	OR5F2P
chr11	56027654	56038191	+	ENSG00000181785.3	OR5AS1
chr11	56049785	56055730	+	ENSG00000184741.6	OR5AQ1P
chr11	56071111	56072049	+	ENSG00000181780.4	OR5J1P
chr11	56082801	56084840	+	ENSG00000225538.2	OR5BE1P
chr11	56093308	56094240	+	ENSG00000172154.11	OR8I2
chr11	56097244	56097384	-	ENSG00000254524.1	OR8I4P
chr11	56103687	56107658	+	ENSG00000181767.3	OR8H2
chr11	56116639	56117256	-	ENSG00000255140.1	OR5BN2P
chr11	56122373	56123311	+	ENSG00000181761.5	OR8H3
chr11	56132666	56133494	-	ENSG00000254848.1	OR5BN1P
chr11	56134721	56140201	-	ENSG00000167822.3	OR8J3
chr11	56142516	56143387	-	ENSG00000254947.1	OR8K4P
chr11	56159394	56160317	-	ENSG00000181752.3	OR8K5
chr11	56165500	56165921	+	ENSG00000255217.1	OR5J7P
chr11	56176618	56177556	+	ENSG00000174957.1	OR5J2
chr11	56188379	56189251	-	ENSG00000230213.1	OR8V1P
chr11	56205125	56205625	-	ENSG00000213604.4	ENSG00000213604
chr11	56208985	56215222	-	ENSG00000254658.3	OR8J2
chr11	56231282	56234255	-	ENSG00000181718.7	OR5T2
chr11	56252254	56253222	+	ENSG00000172489.7	OR5T3
chr11	56274154	56276819	+	ENSG00000181698.5	OR5T1
chr11	56288462	56292254	-	ENSG00000181693.9	OR8H1
chr11	56296541	56297471	-	ENSG00000255461.1	OR8I1P
chr11	56315144	56320639	+	ENSG00000280314.4	OR8K3
chr11	56331347	56332488	-	ENSG00000254722.1	FAM8A2P
chr11	56335142	56336068	+	ENSG00000255134.1	OR8K2P
chr11	56346039	56346998	+	ENSG00000150261.5	OR8K1
chr11	56354291	56361511	+	ENSG00000172487.4	OR8J1
chr11	56357328	56358221	+	ENSG00000242208.1	RPL5P29
chr11	56375624	56376553	+	ENSG00000172199.1	OR8U1
chr11	56381635	56382589	+	ENSG00000254903.1	OR8L1P
chr11	56393729	56394648	+	ENSG00000255466.1	OR5AL2P
chr11	56412696	56413680	+	ENSG00000272987.1	OR5AL1
chr11	56417258	56418232	-	ENSG00000279961.2	OR8U3
chr11	56448668	56449592	+	ENSG00000230416.3	OR5M4P
chr11	56459221	56473352	-	ENSG00000284732.1	ENSG00000284732
chr11	56462469	56463401	-	ENSG00000150269.1	OR5M9
chr11	56469274	56473352	-	ENSG00000174937.5	OR5M3
chr11	56476287	56484839	-	ENSG00000254752.2	OR5M2P
chr11	56490435	56491370	-	ENSG00000181371.5	OR5M8
chr11	56495760	56496412	+	ENSG00000254411.1	ENSG00000254411
chr11	56500300	56501271	-	ENSG00000254490.1	OR5M7P
chr11	56509573	56510195	+	ENSG00000254660.1	ENSG00000254660
chr11	56512235	56513171	-	ENSG00000254603.1	OR5M6P
chr11	56526568	56527503	-	ENSG00000185701.7	OR5M5P
chr11	56542340	56543257	-	ENSG00000255223.5	OR5M11
chr11	56576774	56577721	-	ENSG00000254834.5	OR5M10
chr11	56597426	56598362	-	ENSG00000166693.7	OR5M13P
chr11	56609236	56614874	-	ENSG00000255012.3	OR5M1
chr11	56619779	56620810	-	ENSG00000255172.2	OR5AM1P
chr11	56628932	56629860	+	ENSG00000197866.3	OR5M12P
chr11	56633164	56634103	-	ENSG00000254795.1	OR5AP1P
chr11	56641489	56642439	-	ENSG00000172464.4	OR5AP2
chr11	56663686	56664618	+	ENSG00000172459.5	OR5AR1
chr11	56667545	56674664	-	ENSG00000232511.4	OR2AH1P
chr11	56690465	56690723	+	ENSG00000238041.3	TMEM230P2
chr11	56699095	56703884	+	ENSG00000174914.3	OR9G1
chr11	56736316	56736462	-	ENSG00000254953.1	ENSG00000254953
chr11	56740179	56741096	+	ENSG00000181325.7	OR9G3P
chr11	56741223	56748697	-	ENSG00000172457.7	OR9G4
chr11	56743873	56743981	+	ENSG00000274770.1	MIR6128
chr11	56750330	56750435	-	ENSG00000286704.1	ENSG00000286704
chr11	56751023	56751902	-	ENSG00000254825.1	OR9G2P
chr11	56775261	56776206	-	ENSG00000181296.3	OR5G1P
chr11	56790206	56790965	-	ENSG00000255485.1	OR5G4P
